key,entry_type,discipline,subfield,difficulty_flags,source_name,source_url,retrieved_at
art0018,article,医学生命,老年社会科学,english_mixed,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010282257065235072,2026-07-17T14:30:21+09:00
art0019,article,医学生命,老年社会科学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010282257090114563,2026-07-17T14:30:21+09:00
art0020,article,医学生命,老年社会科学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010282257272612101,2026-07-17T14:30:21+09:00
art0021,article,医学生命,老年社会科学,nonstandard_volume,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010285300563378048,2026-07-17T14:30:21+09:00
art0022,article,医学生命,老年社会科学,subtitle,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010302693954752129,2026-07-17T14:30:21+09:00
art0023,article,医学生命,老年社会科学,nonstandard_volume,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1010306730179195140,2026-07-17T14:30:21+09:00
art0024,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1050001339237143168,2026-07-17T14:30:19+09:00
art0025,article,人文社会,教育社会学,subtitle,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1050001339237145344,2026-07-17T14:30:16+09:00
art0026,article,人文社会,教育社会学,subtitle,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396255488,2026-07-17T14:30:16+09:00
art0027,article,人文社会,教育社会学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396373760,2026-07-17T14:30:16+09:00
art0028,article,人文社会,教育社会学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396724352,2026-07-17T14:30:16+09:00
art0029,article,人文社会,教育社会学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396729984,2026-07-17T14:30:16+09:00
art0030,article,人文社会,教育社会学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396742656,2026-07-17T14:30:16+09:00
art0031,article,人文社会,教育社会学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1390001205396745216,2026-07-17T14:30:16+09:00
art0032,article,理工,地理学,english_mixed,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520009407370836096,2026-07-17T14:30:19+09:00
art0033,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520009410244131328,2026-07-17T14:30:19+09:00
art0034,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520018042628138496,2026-07-17T14:30:19+09:00
art0035,article,理工,地理学,subtitle,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520020773627049216,2026-07-17T14:30:19+09:00
art0036,article,理工,地理学,english_mixed,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520290883190178560,2026-07-17T14:30:19+09:00
art0037,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520294894487122560,2026-07-17T14:30:19+09:00
art0038,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520572360189314432,2026-07-17T14:30:19+09:00
art0039,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520574798841314944,2026-07-17T14:30:19+09:00
art0040,article,理工,地理学,,CiNii Research OpenSearch,https://cir.nii.ac.jp/crid/1520579521861747328,2026-07-17T14:30:19+09:00
art0041,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.71.171,2026-07-17T14:20:56+09:00
art0042,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.71.347,2026-07-17T14:20:56+09:00
art0043,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.71.352,2026-07-17T14:20:56+09:00
art0044,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.72.395,2026-07-17T14:20:56+09:00
art0045,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.72.71,2026-07-17T14:20:56+09:00
art0046,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.73.184,2026-07-17T14:20:56+09:00
art0047,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.73.67,2026-07-17T14:20:56+09:00
art0048,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.74.177,2026-07-17T14:20:56+09:00
art0049,article,人文社会,社会学,english_mixed,Crossref REST API,https://doi.org/10.4057/jsr.74.2,2026-07-17T14:20:56+09:00
art0050,article,人文社会,社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.4057/jsr.74.355,2026-07-17T14:20:56+09:00
art0051,article,人文社会,教育社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.11151/eds.105.202,2026-07-17T14:21:20+09:00
art0052,article,人文社会,教育社会学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.11151/eds.106.222,2026-07-17T14:21:20+09:00
art0053,article,人文社会,教育社会学,english_mixed,Crossref REST API,https://doi.org/10.11151/eds.113.73,2026-07-17T14:21:20+09:00
art0054,article,人文社会,教育社会学,english_mixed,Crossref REST API,https://doi.org/10.11151/eds.93.27,2026-07-17T14:21:20+09:00
art0055,article,人文社会,教育社会学,english_mixed,Crossref REST API,https://doi.org/10.11151/eds.93.47,2026-07-17T14:21:20+09:00
art0056,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.13.264,2026-07-17T14:21:39+09:00
art0057,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.13.314,2026-07-17T14:21:39+09:00
art0058,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.13.317,2026-07-17T14:21:39+09:00
art0059,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.113,2026-07-17T14:21:39+09:00
art0060,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.126,2026-07-17T14:21:39+09:00
art0061,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.133,2026-07-17T14:21:39+09:00
art0062,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.148,2026-07-17T14:21:39+09:00
art0063,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.160,2026-07-17T14:21:39+09:00
art0064,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.162,2026-07-17T14:21:39+09:00
art0065,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.171,2026-07-17T14:21:39+09:00
art0066,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.19,2026-07-17T14:21:39+09:00
art0067,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.246,2026-07-17T14:21:39+09:00
art0068,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.261,2026-07-17T14:21:39+09:00
art0069,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.265,2026-07-17T14:21:39+09:00
art0070,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.272,2026-07-17T14:21:39+09:00
art0071,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.281,2026-07-17T14:21:39+09:00
art0072,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.287,2026-07-17T14:21:39+09:00
art0073,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.289,2026-07-17T14:21:39+09:00
art0074,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.292,2026-07-17T14:21:39+09:00
art0075,article,理工,電子情報通信,english_mixed,Crossref REST API,https://doi.org/10.1587/bplus.14.302,2026-07-17T14:21:39+09:00
art0076,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.60.193,2026-07-17T14:21:56+09:00
art0077,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.61.495,2026-07-17T14:21:56+09:00
art0078,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.61.497,2026-07-17T14:21:56+09:00
art0079,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.61.498,2026-07-17T14:21:56+09:00
art0080,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.108,2026-07-17T14:21:56+09:00
art0081,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.110,2026-07-17T14:21:56+09:00
art0082,article,医学生命,老年医学,english_mixed;subtitle,Crossref REST API,https://doi.org/10.3143/geriatrics.62.114,2026-07-17T14:21:56+09:00
art0083,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.115,2026-07-17T14:21:56+09:00
art0084,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.330,2026-07-17T14:21:56+09:00
art0085,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.333,2026-07-17T14:21:56+09:00
art0086,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.334,2026-07-17T14:21:56+09:00
art0087,article,医学生命,老年医学,english_mixed,Crossref REST API,https://doi.org/10.3143/geriatrics.62.335,2026-07-17T14:21:56+09:00
art0088,article,医学生命,医学図書館情報,english_mixed,Crossref REST API,https://doi.org/10.7142/igakutoshokan.54.122,2026-07-17T14:22:27+09:00
art0089,article,医学生命,医学図書館情報,english_mixed,Crossref REST API,https://doi.org/10.7142/igakutoshokan.54.132,2026-07-17T14:22:27+09:00
art0090,article,医学生命,医学図書館情報,english_mixed,Crossref REST API,https://doi.org/10.7142/igakutoshokan.54.138,2026-07-17T14:22:27+09:00
art0091,article,医学生命,医学図書館情報,english_mixed,Crossref REST API,https://doi.org/10.7142/igakutoshokan.54.143,2026-07-17T14:22:27+09:00
art0092,article,医学生命,医学図書館情報,english_mixed;subtitle,Crossref REST API,https://doi.org/10.7142/igakutoshokan.54.146,2026-07-17T14:22:27+09:00
art0093,article,医学生命,内科学,english_mixed,Crossref REST API,https://doi.org/10.2169/naika.113.1414,2026-07-17T14:22:46+09:00
art0094,article,医学生命,内科学,english_mixed,Crossref REST API,https://doi.org/10.2169/naika.113.1498,2026-07-17T14:22:46+09:00
art0095,article,医学生命,内科学,english_mixed,Crossref REST API,https://doi.org/10.2169/naika.113.1948,2026-07-17T14:22:46+09:00
art0096,article,医学生命,内科学,english_mixed,Crossref REST API,https://doi.org/10.2169/naika.113.2106,2026-07-17T14:22:46+09:00
art0097,article,医学生命,内科学,english_mixed,Crossref REST API,https://doi.org/10.2169/naika.113.831,2026-07-17T14:22:46+09:00
art0098,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.104,2026-07-17T18:22:16+09:00
art0099,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.116,2026-07-17T18:22:16+09:00
art0100,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.254,2026-07-17T18:22:16+09:00
art0101,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.286,2026-07-17T18:22:16+09:00
art0102,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.379,2026-07-17T18:22:16+09:00
art0103,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.415,2026-07-17T18:22:16+09:00
art0104,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.576,2026-07-17T18:22:16+09:00
art0105,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.58.634,2026-07-17T18:22:16+09:00
art0106,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.186,2026-07-17T18:22:16+09:00
art0107,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.244,2026-07-17T18:22:16+09:00
art0108,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.57,2026-07-17T18:22:16+09:00
art0109,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.349,2026-07-17T18:22:16+09:00
art0110,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.436,2026-07-17T18:22:16+09:00
art0111,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.551,2026-07-17T18:22:16+09:00
art0112,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.630,2026-07-17T18:22:16+09:00
art0113,article,人文社会,社会学,english_mixed,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.752,2026-07-17T18:22:16+09:00
art0114,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.59.830,2026-07-17T18:22:16+09:00
art0115,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.163,2026-07-17T18:22:16+09:00
art0116,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.209,2026-07-17T18:22:16+09:00
art0117,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.304,2026-07-17T18:22:16+09:00
art0118,article,人文社会,社会学,subtitle,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.320,2026-07-17T18:22:16+09:00
art0119,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.433,2026-07-17T18:22:16+09:00
art0120,article,人文社会,社会学,,J-Stage WebAPI,https://doi.org/10.4057/jsr.60.465,2026-07-17T18:22:16+09:00
art0121,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.1,2026-07-17T18:22:17+09:00
art0122,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.107,2026-07-17T18:22:17+09:00
art0123,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.207,2026-07-17T18:22:17+09:00
art0124,article,人文社会,心理学,subtitle,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.317,2026-07-17T18:22:17+09:00
art0125,article,人文社会,心理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.399,2026-07-17T18:22:17+09:00
art0126,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.79.481,2026-07-17T18:22:17+09:00
art0127,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.1,2026-07-17T18:22:17+09:00
art0128,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.114,2026-07-17T18:22:17+09:00
art0129,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.199,2026-07-17T18:22:17+09:00
art0130,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.304,2026-07-17T18:22:17+09:00
art0131,article,人文社会,心理学,subtitle,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.397,2026-07-17T18:22:17+09:00
art0132,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.80.494,2026-07-17T18:22:17+09:00
art0133,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.35,2026-07-17T18:22:17+09:00
art0134,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.140,2026-07-17T18:22:17+09:00
art0135,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.234,2026-07-17T18:22:17+09:00
art0136,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.381,2026-07-17T18:22:17+09:00
art0137,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.462,2026-07-17T18:22:17+09:00
art0138,article,人文社会,心理学,subtitle,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.551,2026-07-17T18:22:17+09:00
art0139,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.81.625,2026-07-17T18:22:17+09:00
art0140,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.82.63,2026-07-17T18:22:17+09:00
art0141,article,人文社会,心理学,subtitle,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.82.175,2026-07-17T18:22:17+09:00
art0142,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.82.270,2026-07-17T18:22:17+09:00
art0143,article,人文社会,心理学,,J-Stage WebAPI,https://doi.org/10.4992/jjpsy.82.392,2026-07-17T18:22:17+09:00
art0144,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.57.1,2026-07-17T18:22:19+09:00
art0145,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.57.131,2026-07-17T18:22:19+09:00
art0146,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.57.274,2026-07-17T18:22:19+09:00
art0147,article,人文社会,教育心理学,subtitle,J-Stage WebAPI,https://doi.org/10.5926/jjep.57.407,2026-07-17T18:22:19+09:00
art0148,article,人文社会,教育心理学,subtitle,J-Stage WebAPI,https://doi.org/10.5926/jjep.58.12,2026-07-17T18:22:19+09:00
art0149,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.58.151,2026-07-17T18:22:19+09:00
art0150,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.58.298,2026-07-17T18:22:19+09:00
art0151,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.58.426,2026-07-17T18:22:19+09:00
art0152,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.59.27,2026-07-17T18:22:19+09:00
art0153,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.59.179,2026-07-17T18:22:19+09:00
art0154,article,人文社会,教育心理学,subtitle,J-Stage WebAPI,https://doi.org/10.5926/jjep.59.330,2026-07-17T18:22:19+09:00
art0155,article,人文社会,教育心理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.5926/jjep.59.474,2026-07-17T18:22:19+09:00
art0156,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.60.137,2026-07-17T18:22:19+09:00
art0157,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.60.285,2026-07-17T18:22:19+09:00
art0158,article,人文社会,教育心理学,subtitle,J-Stage WebAPI,https://doi.org/10.5926/jjep.60.430,2026-07-17T18:22:19+09:00
art0159,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.61.121,2026-07-17T18:22:19+09:00
art0160,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.61.265,2026-07-17T18:22:19+09:00
art0161,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.61.412,2026-07-17T18:22:19+09:00
art0162,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.62.156,2026-07-17T18:22:19+09:00
art0163,article,人文社会,教育心理学,,J-Stage WebAPI,https://doi.org/10.5926/jjep.62.283,2026-07-17T18:22:19+09:00
art0164,article,理工,物理学,english_mixed,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.1_39_1,2026-07-17T18:22:21+09:00
art0165,article,理工,物理学,institutional_author;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.1_31,2026-07-17T18:22:21+09:00
art0166,article,理工,物理学,english_mixed,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.2_51,2026-07-17T18:22:21+09:00
art0167,article,理工,物理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.2_78,2026-07-17T18:22:21+09:00
art0168,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.2_96,2026-07-17T18:22:21+09:00
art0169,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.3_110,2026-07-17T18:22:21+09:00
art0170,article,理工,物理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.3_135,2026-07-17T18:22:21+09:00
art0171,article,理工,物理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.4_198,2026-07-17T18:22:21+09:00
art0172,article,理工,物理学,institutional_author;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.4_186,2026-07-17T18:22:21+09:00
art0173,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.5_257,2026-07-17T18:22:21+09:00
art0174,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.5_242,2026-07-17T18:22:21+09:00
art0175,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.5_259,2026-07-17T18:22:21+09:00
art0176,article,理工,物理学,english_mixed,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.6_282,2026-07-17T18:22:21+09:00
art0177,article,理工,物理学,english_mixed;subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.81.6_304,2026-07-17T18:22:21+09:00
art0178,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.10_752,2026-07-17T18:22:21+09:00
art0179,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.10_777,2026-07-17T18:22:21+09:00
art0180,article,理工,物理学,english_mixed,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.10_788_1,2026-07-17T18:22:21+09:00
art0181,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.11_817,2026-07-17T18:22:21+09:00
art0182,article,理工,物理学,subtitle,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.11_849,2026-07-17T18:22:21+09:00
art0183,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.11_858,2026-07-17T18:22:21+09:00
art0184,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.11_867,2026-07-17T18:22:21+09:00
art0185,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.12_920,2026-07-17T18:22:21+09:00
art0186,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.12_945,2026-07-17T18:22:21+09:00
art0187,article,理工,物理学,,J-Stage WebAPI,https://doi.org/10.11316/butsuri.64.12_960,2026-07-17T18:22:21+09:00
art0188,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014bms0019,2026-07-17T18:22:22+09:00
art0189,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014fe0004,2026-07-17T18:22:22+09:00
art0190,article,理工,機械工学,english_mixed;page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014trans0001,2026-07-17T18:22:22+09:00
art0191,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014fe0024,2026-07-17T18:22:22+09:00
art0192,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014bms0056,2026-07-17T18:22:22+09:00
art0193,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014dsm0054,2026-07-17T18:22:22+09:00
art0194,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014tep0044,2026-07-17T18:22:22+09:00
art0195,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014dr0101,2026-07-17T18:22:22+09:00
art0196,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014fe0091,2026-07-17T18:22:22+09:00
art0197,article,理工,機械工学,english_mixed;page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014smm0087,2026-07-17T18:22:22+09:00
art0198,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014trans0060,2026-07-17T18:22:22+09:00
art0199,article,理工,機械工学,english_mixed;page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014trans0070,2026-07-17T18:22:22+09:00
art0200,article,理工,機械工学,page_style,J-Stage WebAPI,https://doi.org/10.1299/transjsme.2014bms0138,2026-07-17T18:22:22+09:00
