key,provisional_key,source,entry_type
art0178,jstage-000082,jstage,article
art0179,jstage-000083,jstage,article
art0180,jstage-000084,jstage,article
art0181,jstage-000085,jstage,article
art0182,jstage-000086,jstage,article
art0183,jstage-000087,jstage,article
art0184,jstage-000088,jstage,article
art0185,jstage-000089,jstage,article
art0186,jstage-000090,jstage,article
art0187,jstage-000091,jstage,article
art0188,jstage-000092,jstage,article
art0189,jstage-000093,jstage,article
art0190,jstage-000094,jstage,article
art0191,jstage-000095,jstage,article
art0192,jstage-000096,jstage,article
art0193,jstage-000097,jstage,article
art0194,jstage-000098,jstage,article
art0195,jstage-000099,jstage,article
art0196,jstage-000100,jstage,article
art0197,jstage-000101,jstage,article
art0198,jstage-000102,jstage,article
art0199,jstage-000103,jstage,article
art0200,jstage-000104,jstage,article
art0201,jstage-000105,jstage,article
art0202,jstage-000106,jstage,article
art0203,jstage-000107,jstage,article
art0204,jstage-000108,jstage,article
art0205,jstage-000109,jstage,article
art0206,jstage-000110,jstage,article
art0207,jstage-000111,jstage,article
art0208,jstage-000112,jstage,article
art0209,jstage-000113,jstage,article
art0210,jstage-000114,jstage,article
art0211,jstage-000115,jstage,article
art0212,jstage-000116,jstage,article
art0213,jstage-000117,jstage,article
art0214,jstage-000118,jstage,article
art0215,jstage-000119,jstage,article
art0216,jstage-000120,jstage,article
art0217,jstage-000121,jstage,article
art0218,jstage-000122,jstage,article
art0219,jstage-000123,jstage,article
art0220,jstage-000124,jstage,article
art0221,jstage-000125,jstage,article
art0222,jstage-000126,jstage,article
art0223,jstage-000127,jstage,article
art0224,jstage-000128,jstage,article
art0225,jstage-000129,jstage,article
art0226,jstage-000130,jstage,article
art0227,jstage-000131,jstage,article
art0228,jstage-000132,jstage,article
art0229,jstage-000133,jstage,article
art0230,jstage-000134,jstage,article
art0231,jstage-000135,jstage,article
art0232,jstage-000136,jstage,article
art0233,jstage-000137,jstage,article
art0234,jstage-000138,jstage,article
art0235,jstage-000139,jstage,article
art0236,jstage-000140,jstage,article
art0237,jstage-000141,jstage,article
art0238,jstage-000142,jstage,article
art0239,jstage-000143,jstage,article
art0240,jstage-000144,jstage,article
art0241,jstage-000145,jstage,article
art0242,jstage-000146,jstage,article
art0243,jstage-000147,jstage,article
art0244,jstage-000148,jstage,article
art0245,jstage-000149,jstage,article
art0246,jstage-000150,jstage,article
art0247,jstage-000151,jstage,article
art0248,jstage-000152,jstage,article
art0249,jstage-000153,jstage,article
art0250,jstage-000154,jstage,article
art0251,jstage-000155,jstage,article
art0252,jstage-000156,jstage,article
art0253,jstage-000157,jstage,article
art0254,jstage-000158,jstage,article
art0255,jstage-000159,jstage,article
art0256,jstage-000160,jstage,article
art0257,jstage-000161,jstage,article
art0258,jstage-000162,jstage,article
art0259,jstage-000163,jstage,article
art0260,jstage-000164,jstage,article
art0261,jstage-000165,jstage,article
art0262,jstage-000166,jstage,article
art0263,jstage-000167,jstage,article
art0264,jstage-000168,jstage,article
art0265,jstage-000169,jstage,article
art0266,jstage-000170,jstage,article
art0267,jstage-000171,jstage,article
art0268,jstage-000172,jstage,article
art0269,jstage-000173,jstage,article
art0270,jstage-000174,jstage,article
art0271,jstage-000175,jstage,article
art0272,jstage-000176,jstage,article
art0273,jstage-000177,jstage,article
art0274,jstage-000178,jstage,article
art0275,jstage-000179,jstage,article
art0276,jstage-000180,jstage,article
art0277,jstage-000181,jstage,article
art0278,jstage-000182,jstage,article
art0279,jstage-000183,jstage,article
art0280,jstage-000184,jstage,article
art0281,jstage-000185,jstage,article
art0282,jstage-000186,jstage,article
art0283,jstage-000187,jstage,article
art0284,jstage-000188,jstage,article
art0285,jstage-000189,jstage,article
art0286,jstage-000190,jstage,article
art0287,jstage-000191,jstage,article
art0288,jstage-000192,jstage,article
art0289,jstage-000193,jstage,article
art0290,jstage-000194,jstage,article
art0291,jstage-000195,jstage,article
art0292,jstage-000196,jstage,article
art0293,jstage-000197,jstage,article
art0294,jstage-000198,jstage,article
art0295,jstage-000199,jstage,article
art0296,jstage-000200,jstage,article
inp0001,anlp-000001,anlp,inproceedings
inp0002,anlp-000002,anlp,inproceedings
inp0003,anlp-000003,anlp,inproceedings
inp0004,anlp-000004,anlp,inproceedings
inp0005,anlp-000005,anlp,inproceedings
inp0006,anlp-000006,anlp,inproceedings
inp0007,anlp-000007,anlp,inproceedings
inp0008,anlp-000008,anlp,inproceedings
inp0009,anlp-000009,anlp,inproceedings
inp0010,anlp-000010,anlp,inproceedings
inp0011,anlp-000011,anlp,inproceedings
inp0012,anlp-000012,anlp,inproceedings
inp0013,anlp-000013,anlp,inproceedings
inp0014,anlp-000014,anlp,inproceedings
inp0015,anlp-000015,anlp,inproceedings
inp0016,anlp-000016,anlp,inproceedings
inp0017,anlp-000017,anlp,inproceedings
inp0018,anlp-000018,anlp,inproceedings
inp0019,anlp-000019,anlp,inproceedings
inp0020,anlp-000020,anlp,inproceedings
inp0021,anlp-000021,anlp,inproceedings
inp0022,anlp-000022,anlp,inproceedings
inp0023,anlp-000023,anlp,inproceedings
inp0024,anlp-000024,anlp,inproceedings
inp0025,anlp-000025,anlp,inproceedings
inp0026,anlp-000026,anlp,inproceedings
inp0027,anlp-000027,anlp,inproceedings
inp0028,anlp-000028,anlp,inproceedings
inp0029,anlp-000029,anlp,inproceedings
inp0030,anlp-000030,anlp,inproceedings
inp0031,anlp-000031,anlp,inproceedings
inp0032,anlp-000032,anlp,inproceedings
inp0033,anlp-000033,anlp,inproceedings
inp0034,anlp-000034,anlp,inproceedings
inp0035,anlp-000035,anlp,inproceedings
inp0036,anlp-000036,anlp,inproceedings
inp0037,anlp-000037,anlp,inproceedings
inp0038,anlp-000038,anlp,inproceedings
inp0039,anlp-000039,anlp,inproceedings
inp0040,anlp-000040,anlp,inproceedings
inp0041,anlp-000041,anlp,inproceedings
inp0042,anlp-000042,anlp,inproceedings
inp0043,anlp-000043,anlp,inproceedings
inp0044,anlp-000044,anlp,inproceedings
inp0045,anlp-000045,anlp,inproceedings
inp0046,anlp-000046,anlp,inproceedings
inp0047,anlp-000047,anlp,inproceedings
inp0048,anlp-000048,anlp,inproceedings
inp0049,anlp-000049,anlp,inproceedings
inp0050,anlp-000050,anlp,inproceedings
inp0051,anlp-000051,anlp,inproceedings
inp0052,anlp-000052,anlp,inproceedings
inp0053,anlp-000053,anlp,inproceedings
inp0054,anlp-000054,anlp,inproceedings
inp0055,anlp-000055,anlp,inproceedings
inp0056,anlp-000056,anlp,inproceedings
inp0057,anlp-000057,anlp,inproceedings
inp0058,anlp-000058,anlp,inproceedings
inp0059,anlp-000059,anlp,inproceedings
inp0060,anlp-000060,anlp,inproceedings
inp0061,cinii_supp-000041,cinii_supp,inproceedings
inp0062,cinii_supp-000042,cinii_supp,inproceedings
inp0063,cinii_supp-000043,cinii_supp,inproceedings
inp0064,cinii_supp-000044,cinii_supp,inproceedings
inp0065,cinii_supp-000045,cinii_supp,inproceedings
inp0066,cinii_supp-000046,cinii_supp,inproceedings
inp0067,cinii_supp-000047,cinii_supp,inproceedings
inp0068,cinii_supp-000048,cinii_supp,inproceedings
inp0069,cinii_supp-000049,cinii_supp,inproceedings
inp0070,cinii_supp-000050,cinii_supp,inproceedings
inp0071,cinii_supp-000051,cinii_supp,inproceedings
inp0072,cinii_supp-000052,cinii_supp,inproceedings
inp0073,cinii_supp-000053,cinii_supp,inproceedings
inp0074,cinii_supp-000054,cinii_supp,inproceedings
inp0075,cinii_supp-000055,cinii_supp,inproceedings
inp0076,cinii_supp-000056,cinii_supp,inproceedings
inp0077,cinii_supp-000057,cinii_supp,inproceedings
inp0078,cinii_supp-000058,cinii_supp,inproceedings
inp0079,cinii_supp-000059,cinii_supp,inproceedings
inp0080,cinii_supp-000060,cinii_supp,inproceedings
inp0081,cinii_supp-000061,cinii_supp,inproceedings
inp0082,cinii_supp-000062,cinii_supp,inproceedings
inp0083,cinii_supp-000063,cinii_supp,inproceedings
inp0084,cinii_supp-000064,cinii_supp,inproceedings
inp0085,cinii_supp-000065,cinii_supp,inproceedings
inp0086,cinii_supp-000066,cinii_supp,inproceedings
inp0087,cinii_supp-000067,cinii_supp,inproceedings
inp0088,cinii_supp-000068,cinii_supp,inproceedings
inp0089,cinii_supp-000069,cinii_supp,inproceedings
inp0090,cinii_supp-000070,cinii_supp,inproceedings
inp0091,cinii_supp-000071,cinii_supp,inproceedings
inp0092,cinii_supp-000072,cinii_supp,inproceedings
inp0093,cinii_supp-000073,cinii_supp,inproceedings
inp0094,cinii_supp-000074,cinii_supp,inproceedings
inp0095,cinii_supp-000075,cinii_supp,inproceedings
inp0096,cinii_supp-000076,cinii_supp,inproceedings
inp0097,cinii_supp-000077,cinii_supp,inproceedings
inp0098,cinii_supp-000078,cinii_supp,inproceedings
inp0099,cinii_supp-000079,cinii_supp,inproceedings
inp0100,cinii_supp-000080,cinii_supp,inproceedings
inp0101,cinii_supp-000081,cinii_supp,inproceedings
inp0102,cinii_supp-000082,cinii_supp,inproceedings
inp0103,cinii_supp-000083,cinii_supp,inproceedings
inp0104,cinii_supp-000084,cinii_supp,inproceedings
inp0105,cinii_supp-000085,cinii_supp,inproceedings
inp0106,cinii_supp-000086,cinii_supp,inproceedings
inp0107,cinii_supp-000087,cinii_supp,inproceedings
inp0108,cinii_supp-000088,cinii_supp,inproceedings
inp0109,cinii_supp-000089,cinii_supp,inproceedings
inp0110,cinii_supp-000090,cinii_supp,inproceedings
inp0111,cinii_supp-000091,cinii_supp,inproceedings
inp0112,cinii_supp-000092,cinii_supp,inproceedings
inp0113,cinii_supp-000093,cinii_supp,inproceedings
inp0114,cinii_supp-000094,cinii_supp,inproceedings
inp0115,cinii_supp-000095,cinii_supp,inproceedings
inp0116,cinii_supp-000096,cinii_supp,inproceedings
inp0117,cinii_supp-000097,cinii_supp,inproceedings
inp0118,cinii_supp-000098,cinii_supp,inproceedings
inp0119,cinii_supp-000099,cinii_supp,inproceedings
inp0120,jstage-000201,jstage,inproceedings
inp0121,jstage-000202,jstage,inproceedings
inp0122,jstage-000203,jstage,inproceedings
inp0123,jstage-000204,jstage,inproceedings
inp0124,jstage-000205,jstage,inproceedings
inp0125,jstage-000206,jstage,inproceedings
inp0126,jstage-000207,jstage,inproceedings
inp0127,jstage-000208,jstage,inproceedings
inp0128,jstage-000209,jstage,inproceedings
inp0129,jstage-000210,jstage,inproceedings
inp0130,jstage-000211,jstage,inproceedings
inp0131,jstage-000212,jstage,inproceedings
inp0132,jstage-000213,jstage,inproceedings
inp0133,jstage-000214,jstage,inproceedings
inp0134,jstage-000215,jstage,inproceedings
inp0135,jstage-000216,jstage,inproceedings
inp0136,jstage-000217,jstage,inproceedings
inp0137,jstage-000218,jstage,inproceedings
inp0138,jstage-000219,jstage,inproceedings
inp0139,jstage-000220,jstage,inproceedings
inp0140,jstage-000221,jstage,inproceedings
inp0141,jstage-000222,jstage,inproceedings
inp0142,jstage-000223,jstage,inproceedings
inp0143,jstage-000224,jstage,inproceedings
inp0144,jstage-000225,jstage,inproceedings
inp0145,jstage-000226,jstage,inproceedings
inp0146,jstage-000227,jstage,inproceedings
inp0147,jstage-000228,jstage,inproceedings
inp0148,jstage-000229,jstage,inproceedings
inp0149,jstage-000230,jstage,inproceedings
inp0150,jstage-000231,jstage,inproceedings
inp0151,jstage-000232,jstage,inproceedings
inp0152,jstage-000233,jstage,inproceedings
inp0153,jstage-000234,jstage,inproceedings
inp0154,jstage-000235,jstage,inproceedings
inp0155,jstage-000236,jstage,inproceedings
inp0156,jstage-000237,jstage,inproceedings
inp0157,jstage-000238,jstage,inproceedings
inp0158,jstage-000239,jstage,inproceedings
inp0159,jstage-000240,jstage,inproceedings
inp0160,jstage-000241,jstage,inproceedings
inp0161,jstage-000242,jstage,inproceedings
inp0162,jstage-000243,jstage,inproceedings
inp0163,jstage-000244,jstage,inproceedings
inp0164,jstage-000245,jstage,inproceedings
inp0165,jstage-000246,jstage,inproceedings
inp0166,jstage-000247,jstage,inproceedings
inp0167,jstage-000248,jstage,inproceedings
inp0168,jstage-000249,jstage,inproceedings
inp0169,jstage-000250,jstage,inproceedings
inp0170,jstage-000251,jstage,inproceedings
inp0171,jstage-000252,jstage,inproceedings
inp0172,jstage-000253,jstage,inproceedings
inp0173,jstage-000254,jstage,inproceedings
inp0174,jstage-000255,jstage,inproceedings
inp0175,jstage-000256,jstage,inproceedings
inp0176,jstage-000257,jstage,inproceedings
inp0177,jstage-000258,jstage,inproceedings
inp0178,jstage-000259,jstage,inproceedings
inp0179,jstage-000260,jstage,inproceedings
inp0180,jstage-000261,jstage,inproceedings
inp0181,jstage-000262,jstage,inproceedings
inp0182,jstage-000263,jstage,inproceedings
inp0183,jstage-000264,jstage,inproceedings
inp0184,jstage-000265,jstage,inproceedings
inp0185,jstage-000266,jstage,inproceedings
inp0186,jstage-000267,jstage,inproceedings
inp0187,jstage-000268,jstage,inproceedings
inp0188,jstage-000269,jstage,inproceedings
inp0189,jstage-000270,jstage,inproceedings
inp0190,jstage-000271,jstage,inproceedings
inp0191,jstage-000272,jstage,inproceedings
inp0192,jstage-000273,jstage,inproceedings
inp0193,jstage-000274,jstage,inproceedings
inp0194,jstage-000275,jstage,inproceedings
inp0195,jstage-000276,jstage,inproceedings
inp0196,jstage-000277,jstage,inproceedings
inp0197,jstage-000278,jstage,inproceedings
inp0198,jstage-000279,jstage,inproceedings
inp0199,jstage-000280,jstage,inproceedings
inp0200,jstage-000281,jstage,inproceedings
inp0201,jstage-000282,jstage,inproceedings
inp0202,jstage-000283,jstage,inproceedings
inp0203,jstage-000284,jstage,inproceedings
inp0204,jstage-000285,jstage,inproceedings
inp0205,jstage-000286,jstage,inproceedings
inp0206,jstage-000287,jstage,inproceedings
inp0207,jstage-000288,jstage,inproceedings
inp0208,jstage-000289,jstage,inproceedings
inp0209,jstage-000290,jstage,inproceedings
inp0210,jstage-000291,jstage,inproceedings
inp0211,jstage-000292,jstage,inproceedings
inp0212,jstage-000293,jstage,inproceedings
inp0213,jstage-000294,jstage,inproceedings
inp0214,jstage-000295,jstage,inproceedings
inp0215,jstage-000296,jstage,inproceedings
inp0216,jstage-000297,jstage,inproceedings
inp0217,jstage-000298,jstage,inproceedings
inp0218,jstage-000299,jstage,inproceedings
inp0219,jstage-000300,jstage,inproceedings
inp0220,jstage-000301,jstage,inproceedings
inp0221,jstage-000302,jstage,inproceedings
inp0222,jstage-000303,jstage,inproceedings
inp0223,jstage-000304,jstage,inproceedings
inp0224,jstage-000305,jstage,inproceedings
inp0225,jstage-000306,jstage,inproceedings
inp0226,jstage-000307,jstage,inproceedings
inp0227,jstage-000308,jstage,inproceedings
inp0228,jstage-000309,jstage,inproceedings
inp0229,jstage-000310,jstage,inproceedings
inp0230,jstage-000311,jstage,inproceedings
inp0231,jstage-000312,jstage,inproceedings
inp0232,jstage-000313,jstage,inproceedings
inp0233,jstage-000314,jstage,inproceedings
inp0234,jstage-000315,jstage,inproceedings
inp0235,jstage-000316,jstage,inproceedings
inp0236,jstage-000317,jstage,inproceedings
inp0237,jstage-000318,jstage,inproceedings
inp0238,jstage-000319,jstage,inproceedings
inp0239,jstage-000320,jstage,inproceedings
inp0240,jstage-000321,jstage,inproceedings
inp0241,jstage-000322,jstage,inproceedings
inp0242,jstage-000323,jstage,inproceedings
inp0243,jstage-000324,jstage,inproceedings
inp0244,jstage-000325,jstage,inproceedings
inp0245,jstage-000326,jstage,inproceedings
inp0246,jstage-000327,jstage,inproceedings
inp0247,jstage-000328,jstage,inproceedings
inp0248,jstage-000329,jstage,inproceedings
inp0249,jstage-000330,jstage,inproceedings
bok0001,cinii-1970023484853127221,cinii,book
bok0002,cinii-1970023484873655440,cinii,book
bok0003,cinii-1970023484884716067,cinii,book
bok0004,cinii-1970023484941842724,cinii,book
bok0005,cinii-1970023484961045768,cinii,book
bok0006,cinii-1970023484969324044,cinii,book
bok0007,cinii-1970023484970969478,cinii,book
bok0008,cinii-1970023484980584194,cinii,book
bok0009,cinii-1970023484982484382,cinii,book
bok0010,cinii-1970023484985202708,cinii,book
bok0011,cinii-1970304959838192649,cinii,book
bok0012,cinii-1970304959846607290,cinii,book
bok0013,cinii-1970304959866512168,cinii,book
bok0014,cinii-1970304959905133860,cinii,book
bok0015,cinii-1970304959908551587,cinii,book
bok0016,cinii-1970304959916995617,cinii,book
bok0017,cinii-1970304959922698666,cinii,book
bok0018,cinii-1970304959928356001,cinii,book
bok0019,cinii-1970304959956496309,cinii,book
bok0020,cinii-1970586434800553630,cinii,book
bok0021,cinii-1970586434800666315,cinii,book
bok0022,cinii-1970586434802089483,cinii,book
bok0023,cinii-1970586434820809894,cinii,book
bok0024,cinii-1970586434826472235,cinii,book
bok0025,cinii-1970586434844543891,cinii,book
bok0026,cinii-1970586434874418348,cinii,book
bok0027,cinii-1970586434897381260,cinii,book
bok0028,cinii-1970586434930588604,cinii,book
bok0029,cinii-1970867909764584112,cinii,book
bok0030,cinii-1970867909787508542,cinii,book
bok0031,cinii-1970867909799965358,cinii,book
bok0032,cinii-1970867909807730831,cinii,book
bok0033,cinii-1970867909814671640,cinii,book
bok0034,cinii-1970867909817674135,cinii,book
bok0035,cinii-1970867909853705492,cinii,book
bok0036,cinii-1970867909855207307,cinii,book
bok0037,cinii-1970867909858701443,cinii,book
bok0038,cinii-1970867909873839758,cinii,book
bok0039,cinii-1970867909874137288,cinii,book
bok0040,cinii-1970867909874515886,cinii,book
bok0041,cinii-1970867909884152329,cinii,book
bok0042,cinii-1971149384744558499,cinii,book
bok0043,cinii-1971149384758843982,cinii,book
bok0044,cinii-1971149384770493977,cinii,book
bok0045,cinii-1971149384779664791,cinii,book
bok0046,cinii-1971149384800972049,cinii,book
bok0047,cinii-1971149384805209534,cinii,book
bok0048,cinii-1971149384806349340,cinii,book
bok0049,cinii-1971149384810031793,cinii,book
bok0050,cinii-1971149384810411412,cinii,book
bok0051,cinii-1971149384818487832,cinii,book
bok0052,cinii-1971149384824308133,cinii,book
bok0053,cinii-1971149384827195914,cinii,book
bok0054,cinii-1971149384833975974,cinii,book
bok0055,cinii-1971149384843201539,cinii,book
bok0056,cinii-1971149384856587063,cinii,book
bok0057,cinii-1971149384868992710,cinii,book
bok0058,cinii-1971149384869999890,cinii,book
bok0059,cinii-1971149384880205984,cinii,book
bok0060,cinii-1971149384890384191,cinii,book
bok0061,cinii-1971430859720896934,cinii,book
bok0062,cinii-1971430859729938697,cinii,book
bok0063,cinii-1971430859744107470,cinii,book
bok0064,cinii-1971430859748204841,cinii,book
bok0065,cinii-1971430859753757739,cinii,book
bok0066,cinii-1971430859766646460,cinii,book
bok0067,cinii-1971430859776538675,cinii,book
bok0068,cinii-1971430859782795025,cinii,book
bok0069,cinii-1971430859786846861,cinii,book
bok0070,cinii-1971430859811922751,cinii,book
bok0071,cinii-1971430859828146436,cinii,book
bok0072,cinii-1971430859844238860,cinii,book
bok0073,cinii-1971430859844796175,cinii,book
bok0074,cinii-1971430859851706766,cinii,book
bok0075,cinii-1971430859866004272,cinii,book
bok0076,cinii-1971712334710609835,cinii,book
bok0077,cinii-1971712334715115142,cinii,book
bok0078,cinii-1971712334726340899,cinii,book
bok0079,cinii-1971712334730602127,cinii,book
bok0080,cinii-1971712334732483608,cinii,book
bok0081,cinii-1971712334736623376,cinii,book
bok0082,cinii-1971712334749649300,cinii,book
bok0083,cinii-1971712334751163698,cinii,book
bok0084,cinii-1971712334764864169,cinii,book
bok0085,cinii-1971712334779083395,cinii,book
bok0086,cinii-1971712334781830156,cinii,book
bok0087,cinii-1971712334782921764,cinii,book
bok0088,cinii-1971712334801226118,cinii,book
bok0089,cinii-1971712334808894133,cinii,book
bok0090,cinii-1971712334820407326,cinii,book
bok0091,cinii-1971712334824239409,cinii,book
bok0092,cinii-1971712334824239519,cinii,book
bok0093,cinii-1971712334839558329,cinii,book
bok0094,cinii-1971712334840637732,cinii,book
bok0095,cinii-1971993809686382268,cinii,book
bok0096,cinii-1971993809699083014,cinii,book
bok0097,cinii-1971993809722836871,cinii,book
bok0098,cinii-1971993809735630242,cinii,book
bok0099,cinii-1971993809758111028,cinii,book
bok0100,cinii-1971993809764739257,cinii,book
bok0101,cinii-1971993809770905380,cinii,book
bok0102,cinii-1971993809803809577,cinii,book
bok0103,cinii-1971993809806948628,cinii,book
bok0104,cinii-1971993809822236433,cinii,book
bok0105,cinii-1971993809822597296,cinii,book
bok0106,ndl-R100000001-I11141111025432,ndl,book
bok0107,ndl-R100000001-I25110520151,ndl,book
bok0108,ndl-R100000001-I27211000080145017,ndl,book
bok0109,ndl-R100000001-I34211100285432,ndl,book
bok0110,ndl-R100000002-I000001508024,ndl,book
bok0111,ndl-R100000002-I000001579539,ndl,book
bok0112,ndl-R100000002-I000001619541,ndl,book
bok0113,ndl-R100000002-I000001707715,ndl,book
bok0114,ndl-R100000002-I000001764799,ndl,book
bok0115,ndl-R100000002-I000001773054,ndl,book
bok0116,ndl-R100000002-I000001778540,ndl,book
bok0117,ndl-R100000002-I000001794277,ndl,book
bok0118,ndl-R100000002-I000001812219,ndl,book
bok0119,ndl-R100000002-I000001823302,ndl,book
bok0120,ndl-R100000002-I000001840923,ndl,book
bok0121,ndl-R100000002-I000001872691,ndl,book
bok0122,ndl-R100000002-I000001931799,ndl,book
